40,075|57,279|80,195|112,999|160,804|
1,975|3,120|2,300|2,763|2,647|
42,049|60,399|82,495|115,761|163,451|
13,633|19,631|32,043|48,962|70,017|
1,533|2,049|2,912|3,362|4,092|
0|739|282|432|442|
14,075|19,964|31,150|47,932|68,130|
41|-913|-3,855|-4,863|-7,375|
0|0|0|0|0|
73|395|2,404|-4,783|-22,318|
679|1,286|3,132|8,456|7,022|
13,511|18,161|26,567|29,831|31,415|
34.0|34.3|40.0|43.3|43.5|
4.8|6.4|10.1|17.6|10.3|
33.7|31.7|33.1|26.4|19.5|
