36,121|76,376|102,934|115,030|186,865
7,579|17,754|26,185|28,413|59,896
71.2|102.3|95.7|76.7|79.0
4.8|4.3|3.9|4.0|3.1
98|95|95|83|71
107|73|95|78|50
16,776|27,568|32,742|50,771|58,242
1,036|1,036|1,036|1,036|2,071
73,910|90,935|112,503|136,274|163,019
78,289|94,833|122,358|149,897|185,250
146|1,573|1,554|1,153|487
90,721|124,176|164,740|205,827|293,708
NM|28.0|111.5|112.1|155.2
0|0|0|0|0
0.4|0.5|0.5|0.5|0.5
14.9|15.2|16.3|14.7|10.8
17.3|19.2|21.7|19.9|17.0
18.1|20.9|24.2|25.6|20.9
20.9|15.6|18.2|17.0|14.1
8.8|7.1|6.0|4.7|3.6
8,390|8,964|14,628|19,238|22,713
3,515|4,040|4,819|5,353|5,779
8,508|9,006|14,646|19,615|23,168
4,629|5,157|6,369|7,877|12,629
3,879|3,849|8,277|11,739|10,539
